nand4
c_load, delayn1, pw, pdp             
5.000e-14, 6.516e-11, 1.151e-05, 7.499e-16      
1.000e-13, 1.107e-10, 1.970e-05, 2.180e-15      
1.500e-13, 1.570e-10, 2.771e-05, 4.351e-15      
2.000e-13, 2.035e-10, 3.544e-05, 7.213e-15      
2.500e-13, 2.512e-10, 4.446e-05, 1.117e-14      
3.000e-13, 3.012e-10, 5.324e-05, 1.604e-14      
3.500e-13, 3.474e-10, 6.094e-05, 2.117e-14      
4.000e-13, 3.939e-10, 6.867e-05, 2.705e-14      
4.500e-13, 4.387e-10, 7.628e-05, 3.346e-14      
5.000e-13, 4.830e-10, 8.433e-05, 4.074e-14      
5.500e-13, 5.282e-10, 9.257e-05, 4.890e-14      
6.000e-13, 5.854e-10, 1.012e-04, 5.922e-14      
6.500e-13, 6.470e-10, 1.120e-04, 7.246e-14      
7.000e-13, 7.080e-10, 1.242e-04, 8.792e-14      
7.500e-13, 7.577e-10, 1.316e-04, 9.968e-14      
8.000e-13, 8.038e-10, 1.388e-04, 1.115e-13      
8.500e-13, 8.517e-10, 1.468e-04, 1.250e-13      
9.000e-13, 8.965e-10, 1.551e-04, 1.390e-13      
9.500e-13, 9.376e-10, 1.625e-04, 1.524e-13      
1.000e-12, 9.815e-10, 1.705e-04, 1.673e-13      
